Filename,Segment,WC,WPS,Sixltr,Dic,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
549.Engel.4.5.06.docx,1,201,18.27,34.33,72.64,41.29,9.45,4.48,2.49,1.99,0,0,0,4.98,6.47,9.45,4.98,1.99,4.48,1,1,11.94,4.48,1,1.49,1.49,0,5.47,0,1.49,1,6.97,4.48,2.49,1.49,0,0.5,12.44,1,0.5,0.5,0.5,1.99,1,5.97,1,1,0.5,0.5,0,0,0,0,0,0,11.44,1.99,4.48,4.98,4.48,2.49,0,1,3.48,0,1.99,0,0,0,7.46,4.48,0,0,0,0,1,0,0.5,0,0,13.43
550.Holt.4.5.06.docx,1,561,14.02,32.09,76.65,45.28,9.09,4.63,1.07,2.67,0,0,0.89,4.46,8.91,7.49,4.63,0.71,4.63,1.07,2.14,13.19,4.46,0.36,1.78,1.25,0,9.98,0.89,0.18,1.6,7.66,4.28,3.39,0.89,1.43,0.89,13.73,0.71,0.71,1.43,0.53,1.78,1.78,6.24,1.07,0.71,0.36,0.36,0,0.53,0,0.36,0.18,0,14.62,1.96,6.24,6.24,2.67,2.14,0.18,0.36,1.25,1.25,2.85,0,0,0,8.73,4.63,0.18,0,0,0,0.18,0,0,0.18,0.18,14.26
551.Hoyer.4.5.06.docx,1,309,22.07,34.3,74.43,47.57,6.15,3.56,1.29,1.62,0,0,0.65,2.59,11,7.44,5.83,0.32,4.53,1.62,1.94,15.21,6.15,0.97,1.94,0.32,0,6.15,0,0.32,2.59,7.12,2.59,4.53,0.65,1.94,1.62,12.94,2.27,0.97,0.97,0.97,1.29,0.97,5.18,1.62,1.62,1.29,0.32,0,0.97,0.32,0,0.65,0,14.24,0.97,8.09,5.18,1.62,1.94,0,0,0.32,0,2.27,0,0,0,4.85,5.18,0.32,0,0.32,0,0,0,0.32,0,0,11
552.Rangel.4.5.06.docx,1,765,19.12,29.93,71.9,46.14,8.63,4.97,0.13,1.05,0.65,0.65,2.48,3.66,9.41,9.67,6.67,1.18,5.75,1.05,2.88,12.03,5.1,0.92,0.65,1.05,0,9.54,0.26,0.13,2.35,4.97,2.61,2.35,0.65,1.31,0.39,12.16,0.65,2.09,1.57,1.18,1.18,1.7,4.31,0.92,1.18,0.65,0.39,0,2.35,1.57,0.13,0.52,0.39,11.9,1.96,5.23,4.31,2.48,3.79,0,0.26,0.65,0,2.09,0,0.26,0,6.14,4.97,0.26,0.78,0,0,0.39,0,2.09,0.39,0,15.42
553.MoranVA.4.5.06.docx,1,174,17.4,34.48,77.59,43.68,4.6,2.3,0.57,1.72,0,0,0,2.3,7.47,9.77,6.32,2.3,5.75,0.57,1.15,14.94,6.9,0,1.72,1.72,0,6.9,0,0,4.6,9.2,5.17,4.02,0,2.3,1.72,13.22,1.72,0.57,1.15,0.57,2.3,0.57,6.32,0.57,1.15,0,1.15,0,1.72,0,1.15,0.57,0,16.09,1.72,6.9,6.9,0,1.15,0,0.57,1.72,0,0.57,0,0,0,6.32,2.87,0,0,0,0,0,0,1.15,0,0,10.34
554.Honda.4.5.06.docx,1,251,20.92,31.47,72.51,45.02,6.37,3.19,1.59,1.2,0,0,0.4,3.19,11.55,9.96,6.37,0.4,4.78,1.59,1.59,15.54,1.2,0.4,1.59,0.8,0,9.96,0,0.4,1.99,3.59,2.79,0.8,0,0.8,0,8.37,1.59,0.4,1.59,1.2,0.4,0.4,3.59,0.4,0.8,0,0.8,0,0,0,0,0,0,11.95,3.98,5.18,2.39,3.59,1.99,0,0,0.4,0,1.59,0,0,0,8.76,4.78,0,0,0,0,0,0,0.4,0,0,13.94
555.Pallone.4.5.06.docx,1,331,19.47,31.72,73.11,41.99,7.25,3.32,0.91,1.51,0,0,0.91,3.93,7.25,9.67,4.83,1.51,5.44,0.6,2.11,14.2,5.14,0.3,1.21,1.81,0,6.04,0,0.3,1.51,6.04,3.63,2.42,0.3,0.3,0.6,11.18,1.51,1.81,1.51,0.6,0.6,0.91,4.23,0,0.91,0.3,0.6,0,0,0,0,0,0,15.41,2.42,6.04,7.25,3.32,2.11,0,0.91,0.91,0.3,1.21,0,0,0,6.65,4.53,0,0,0,0,0.6,0,1.81,0,0,13.6
556.Schwartz.4.5.06.docx,1,348,15.82,32.47,75,43.1,8.62,5.17,1.72,2.59,0,0.29,0.57,3.45,7.47,10.63,6.03,2.3,4.6,1.44,2.01,11.78,5.75,0.57,1.15,1.44,0,8.05,0.86,0.57,1.72,5.75,2.87,2.59,0.29,0.86,0.57,12.64,0.86,1.72,1.15,0.29,2.01,0.86,6.61,0.29,0.57,0,0.57,0,0,0,0,0,0,15.52,3.16,5.46,6.61,4.6,2.87,0.29,0.29,0.86,0.29,2.87,0,0,0,6.61,7.76,0,0,0,0,1.15,0,1.15,0,0,16.67
557.Lowey.4.5.06.docx,1,450,18,30,75.78,48,10.22,4.22,0.67,2.89,0,0,0.67,6,8.89,10.22,7.56,1.11,4.89,2,2.89,10.89,6,1.78,1.56,0.44,0,6.67,0,0.22,0.89,5.56,2.44,3.11,0.44,0.67,1.33,14.67,1.11,1.33,2.22,1.11,2.22,0.89,6.44,1.11,2,0.44,1.11,0.44,0.44,0.22,0.22,0,0,13.56,2,3.33,8.22,1.56,2.22,0.44,0.22,1.56,0.44,2.44,0,0,0,7.33,5.56,0,0,0,0,0.22,0,3.11,0.22,0,16.67
559.Bereuter.6.12.01.docx,1,580,23.2,39.14,68.28,39.48,5,2.76,0.34,1.38,0,0,1.03,2.24,8.62,7.07,5.34,0.34,3.79,1.38,2.24,12.07,4.66,0.52,2.07,0.17,0,6.72,0,0.17,1.55,3.62,1.55,1.72,0.17,1.21,0.17,14.14,1.9,1.03,1.9,3.45,1.03,0.34,3.79,1.9,1.03,0,0.69,0.17,0.17,0,0,0,0.17,13.45,2.07,7.76,3.97,3.97,1.55,0,0.17,0.69,0,0.34,0,0,0,5.17,7.59,0.17,0.52,0,0,0.86,0,1.21,0,0,15.52
