IDNO,Name,Regions,OpposeSupport,PartyAffliation,i,we,you,shehe,they,past,present,future,negate,social,posemo,negemo,insight,cause,discrep,tentat,certain,inhib,incl,excl,motion,achieve,money,relig,death
218,Frist,1,1,1,.58,2.49,.25,1.08,.83,2.16,4.32,1.58,1.91,8.13,3.4,4.07,1.16,2.16,1.99,2.32,1.41,1,4.65,2.82,1.91,3.07,.33,.25,.66
17,Akaka,1,0,2,.32,2.24,0,0,.32,1.44,3.68,.96,.48,4.96,2.56,3.84,2.08,2.4,1.44,1.92,1.28,1.76,5.76,1.76,.96,3.68,.16,.16,.48
487,Landrieu,1,1,2,.58,1.62,.23,1.68,.1,1.65,4.79,1.2,1.26,7.12,2.62,3.69,3.17,2.85,1.94,1.49,1.42,1.17,4.27,1.85,1.39,3.63,.19,.19,.97
470,Rockefeller,1,1,2,1.32,3.18,0,1.11,.37,1.32,6.89,2.02,1.44,7.76,2.35,5.36,2.97,2.27,1.98,2.72,1.86,.87,4.87,3.01,1.49,3.18,.29,.25,.45
212,Feinstein,1,1,2,1.11,2.71,.15,.97,.44,1.06,6.82,2.23,1.94,7.79,2.56,3.82,2.08,2.32,2.52,2.61,1.89,1.26,5.76,2.71,1.79,2.66,.19,.24,1.26
382,Murkowski,1,1,1,1.51,.87,.06,.64,.46,1.51,4.82,1.16,.58,5.23,2.15,1.51,2.56,3.02,1.05,.99,1.22,1.63,2.91,1.34,2.09,3.02,1.57,0,.17
366,Lieberman,1,1,2,1.54,2.38,.45,1.33,.31,2.38,8.04,.56,.98,8.29,2.73,3.39,2.59,2.2,.94,2.13,1.05,1.57,4.76,1.92,1.22,3.32,.45,.17,.77
368,Warner,1,1,1,2.51,2.33,.41,1.23,.23,1.92,6.43,1.46,1.51,8.17,2.51,1.64,2.01,1.46,1.14,2.24,1.78,.96,5.02,2.65,1.64,2.65,.36,.14,.05
376,Lieberman,1,1,2,2.14,1.51,.42,.92,.38,1.26,6.37,.67,.84,7.29,2.51,2.51,3.43,1.76,1.21,2.14,1.55,1.3,3.6,2.22,1.34,2.76,.34,.13,.25
408,Specter,1,1,1,2.14,1.34,.1,.83,.1,2.52,7.41,1.31,1.57,4.67,2.14,2.91,3.68,2.4,1.63,2.27,1.18,1.41,3.07,2.33,1.34,3.55,.13,.06,.74
44,Byrd,1,0,2,.98,.98,.26,.98,.43,1.84,6.93,1.46,.98,6.89,1.58,2.53,2.44,1.88,1.63,2.14,1.41,.86,3.08,2.01,1.11,3.08,.47,0,.56
371,Byrd,1,0,2,3.13,2.12,.3,.91,1.28,1.45,9.97,1.45,1.52,8.69,2.26,1.58,2.9,.91,1.72,2.63,1.11,.64,4.01,2.39,1.85,1.55,.57,.07,.27
45,Byrd,1,0,2,1.11,1.31,.1,.48,.39,2.61,4.89,1.06,1.16,5.66,1.31,3.44,2.71,1.4,1.21,1.98,.73,1.31,4.65,1.65,1.26,2.08,.19,.24,.68
500,Mikulski,1,0,2,3.04,2.43,.28,.5,.77,.94,9.05,1.43,1.16,8.17,3.59,4.25,3.04,2.54,1.66,1.82,.99,1.43,4.58,1.93,1.38,2.92,.33,.22,.83
373,Feingold,1,0,2,2.54,2.97,.03,.33,.63,1.38,7.15,.76,1.68,8.37,2.44,4.28,2.5,1.78,1.55,2.64,1.48,1.12,5.3,2.57,1.45,2.67,.23,.1,.36
261,Kyl,1,1,1,1.2,1.7,.39,1.36,1.07,2.64,8.08,1.2,1.83,7.66,2.88,1.96,2.75,2.35,2.3,2.67,1.44,.78,4.31,2.98,2.09,2.54,.24,.18,.13
188,Biden,1,1,2,.72,1.89,0,.61,.22,1.34,5.57,1.56,.95,6.91,3.29,3.29,3.29,3.06,1.73,2.12,1.67,2.34,3.79,1.84,1.56,3.34,.39,.06,.45
251,Kerrey,1, ,2,1.53,2.64,.11,.37,.58,3.16,5.01,.9,.63,8.38,2.79,3.06,1.27,2.06,1.27,1.21,.79,1.42,4.69,1.27,1.58,2.37,1.37,.79,.58
43,McCain,1,1,1,2.21,2.01,.13,.84,.45,2.86,4.74,1.62,1.23,7.86,2.99,3.12,2.4,2.08,1.49,2.21,.91,1.23,4.42,1.82,1.23,2.4,.32,.13,.26
250,Kerrey,1, ,2,.46,3.55,.15,.77,.51,1.18,5.19,1.85,.87,8.68,3.6,3.19,1.64,2.06,2.47,1.9,1.44,1.03,5.81,1.85,1.28,3.44,1.49,.05,.67
524,Hutchinson,1,1,1,1.17,2.02,.04,1.21,.7,2.57,6.52,.81,1.06,7.55,1.98,5.28,2.42,1.5,1.03,1.1,1.65,.88,4.4,1.25,1.47,2.38,.4,.11,.88
529,Corzine,1,0,2,1.66,2.93,.06,.5,.39,1.38,4.64,1.82,.88,7.63,2.87,3.76,3.1,1.66,1.44,1.93,1.49,1.44,4.59,1.6,1.88,2.54,.5,.22,.55
425,Specter,1,1,1,3.5,1.86,0,1.22,.5,2.93,6.93,1.07,1,6.79,3.22,1.57,2.57,1.64,1.43,1.86,.86,.43,4.86,2.22,1.72,2.86,.43,.64,.21
280,Lieberman,1,1,2,1.32,1.87,0,1.6,.55,1.8,3.95,1.39,.83,7.28,3.47,3.68,2.01,2.01,1.04,1.6,1.8,1.46,5.27,1.8,2.08,4.02,.28,.21,.42
78,Dayton,1,0,2,1.23,3.56,.07,1.31,.94,2.76,5.73,1.16,1.6,8.78,1.6,3.92,1.96,2.25,1.74,2.39,1.09,1.16,5.37,2.47,1.31,3.05,.44,.07,.36
379,"Graham, FL",1,0,2,2.07,2.55,.33,.81,.63,1.77,7.52,.86,1.01,8.28,1.92,4.06,1.92,2.3,1.03,1.41,.61,1.16,4.47,1.56,1.77,4.11,.15,.15,.5
85,Dodd,1,1,2,2.56,3.25,.04,.31,.73,2.29,7.37,1.72,1.76,8.33,3.36,2.67,2.87,1.57,2.37,2.29,1.53,.92,5.27,2.37,1.72,4.39,.38,.15,.04
190,Lieberman,1,1,2,1.5,2.96,.36,.83,.36,1.66,6.59,1.24,1.35,7.52,3.27,3.32,2.02,2.7,1.19,2.7,1.4,.73,5.24,2.49,1.92,3.16,.26,.05,.47
522,Sarbanes,1,0,2,1.32,3.73,.12,.27,.35,1.47,6.71,1.32,1.01,7.53,3.38,2.29,3.03,2.44,1.86,2.13,1.59,.85,5.74,2.1,2.21,4.62,.31,0,.23
410,Daschle,1,1,2,.98,3.07,0,.85,.77,1.32,7.12,1.49,1.62,8.1,2.9,4.13,3.2,2.6,2.47,2.13,1.28,1.15,5.46,2.05,1.83,4.01,.34,.21,.68
466,Collins,1,1,1,1.36,1.16,0,.97,.34,.97,4.12,.87,.53,4.46,3.3,4.9,2.62,2.47,1.16,1.45,1.41,1.36,3.98,1.45,.73,3.64,.48,.19,.63
385,Nelson,1,1,2,1.81,2.44,0,.21,.49,1.46,5.92,1.67,.35,6.13,2.44,2.37,1.88,1.67,1.46,1.95,1.39,1.6,4.25,1.05,2.23,2.44,.56,.07,.7
367,McCain,1,1,1,1.58,1.63,0,1.13,.27,1.49,5.51,1.31,1.13,7.23,3.62,3.16,3.25,1.67,1.04,1.54,1.67,2.21,3.57,1.49,1.17,3.43,.27,.14,.14
241,Specter,1,1,1,1.61,1.27,0,.52,.17,1.61,5.41,1.5,1.15,4.03,1.5,2.65,1.78,2.19,1.96,2.42,.86,.98,3.74,2.19,1.44,2.93,.12,.35,.92
405,Biden,1,1,2,2.23,2.24,.22,1.82,.75,2.41,7.82,2.01,1.91,9.03,2.41,3.82,2.41,2.68,2.73,2.3,1.88,1.02,5.18,3.02,1.77,3.07,.61,.26,.61
