IDNO,Name,Date,Venue,,Region,PartyAffiliation,Honesty,Status,CatThink,ComplexThink,CogProcess,PsychDistance,Presidentiality,Depression,,Title,Dateno,,,,Month,Day,Year
266,Lautenberg,10/27/2005,Senate,,Iran,D,-1.314625,-1.756979,2.410918,-3.485862,-1.095891,3.557283,0.972252,1.146705,,Senator,38652,,,,10,27,5
267,Leahy,2/26/1998,Senate,,Iraq,D,1.591003,-0.711317,0.054185,3.658044,1.463591,0.736435,-0.202964,0.206872,,Senator,35852,,,,2,26,98
268,Leahy,1/30/2003,Senate,,Iraq,D,1.891547,-0.374065,1.556215,-1.316684,-0.84604,2.76834,0.252005,0.712254,,Senator,37651,,,,1,30,3
270,Leahy,3/13/2003,Senate,,Iraq,D,-0.794372,0.191758,0.483884,1.666302,0.583547,1.932999,0.08422,-0.509372,,Senator,37693,,,,3,13,3
272,Levin,12/15/2009,Senate,,Iran,D,2.269698,-1.192633,5.113854,-3.38306,-0.472011,6.078595,1.98181,1.499162,,Senator,40162,,,,12,15,9
273,Levin,1/9/2003,Senate,,Iraq,D,4.11782,0.439914,3.57489,-0.682051,0.063796,5.132552,2.444601,-0.685761,,Senator,37630,,,,1,9,3
275,Levin,3/17/2003,Senate,,Iraq,D,0.594917,0.211727,3.182463,1.4521,0.022085,3.990628,3.625129,-0.883768,,Senator,37697,,,,3,17,3
280,Lieberman,9/13/2002,Senate,,Iraq,D,4.110328,-0.509871,1.386407,-0.951356,-0.181442,2.637619,0.732856,-0.136886,,Senator,37512,,,,9,13,2
281,Lieberman,10/2/2002,Senate,,Iraq,D,1.620647,-1.368378,3.6862,-0.489274,-0.185281,2.918153,3.944468,-2.559267,,Senator,37531,,,,10,2,2
282,Warner,10/2/2002,Senate,,Iraq,R,2.259834,-1.306541,3.188212,-3.134083,0.652124,2.641359,2.536033,-0.799626,,Senator,37531,,,,10,2,2
283,Lott,2/25/1998,Senate,,Iraq,R,-0.620192,-2.096458,-0.705426,-1.612674,-0.818065,0.860883,-0.400141,-1.083709,,Senator,35851,,,,2,25,98
284,Lott,10/7/1998,Senate,,Iraq,R,2.354915,0.171739,0.97142,-2.250934,-1.136106,3.138978,1.823903,-2.047254,,Senator,36075,,,,10,7,98
285,Helms,10/7/1998,Senate,,Iraq,R,-0.548841,-1.115958,1.647332,-1.197396,-1.075235,2.714079,0.00147,-0.83599,,Senator,36075,,,,10,7,98
295,McCain,2/9/1998,Senate,,Iraq,R,0.766851,-0.063665,2.623219,-1.317632,-0.280352,2.847544,1.608916,-1.122868,,Senator,35835,,,,2,9,98
