ID #,Name,Date,Venue,State,Region,namest,Party,Honesty,Status,CatThink,ComplexThink,CogProcess,PsychDistance,Year,StartedCongress,YrsInCongress,WordCount
59,Brownback,4/29/2008,Senate,KS,North Korea,BrownbackKS,R,-2.028386,0.62486,-0.147723,-1.272727,-0.917225,1.302464,2008,1996,12,2462
61,Brownback,6/4/2009,Senate,KS,North Korea,BrownbackKS,R,-3.021929,-0.271811,-2.991854,-0.538771,0.10751,-3.751785,2009,1996,13,938
62,Brownback,6/27/2008,Senate,KS,North Korea,BrownbackKS,R,-0.935,0.353747,-0.881814,-2.215686,-1.683651,-1.223822,2008,1996,12,2012
63,Brownback,11/18/2010,Senate,KS,Iran,BrownbackKS,R,-2.000689,-0.912071,3.577404,-4.777614,-2.048706,3.627916,2010,1996,14,808
67,Coleman,3/9/2006,Senate,MN,Iran,ColemanMN,R,-6.008327,0.158024,-0.327373,-1.519255,0.661317,-1.593588,2006,2003,3,816
68,Collins,5/22/2013,Senate,ME,Iran,CollinsME,R,4.66262,-1.730192,4.802177,-2.882988,-0.717633,4.876667,2013,1997,16,391
76,Daschle,2/6/2003,Senate,SD,North Korea,DaschleSD,D,3.181479,-0.574933,0.1297,-0.131176,0.333944,2.388496,2003,1979,24,735
78,Dayton,2/13/2003,Senate,MN,Iraq,DaytonMN,D,3.651969,0.464327,0.056337,3.125987,0.614898,1.610319,2003,2001,2,1378
79,DeMint,6/8/2009,Senate,SC,North Korea,DeMintSC,R,0.633812,-0.767106,-0.72861,-1.641354,-0.97141,1.668118,2009,1999,10,767
85,Dodd,3/7/2003,Senate,CT,Iraq,DoddCT,D,1.895602,-0.880856,-0.80344,1.508123,0.708138,-1.673466,2003,1975,28,2617
87,Domenici,2/22/2000,Senate,NM,Iran,DomeniciNM,R,5.848905,-1.040762,4.036358,0.200524,-0.72653,5.685927,2000,1973,27,1007
90,Domenici,1/28/2003,Senate,NM,Iraq,DomeniciNM,R,-2.712721,-0.555798,-6.728722,0.492497,-1.069837,-5.712868,2003,1973,30,410
94,Biden,5/24/2007,Senate,DE,Iraq,BidenDE,D,8.123779,-0.731003,1.190211,-0.002642,-1.358137,1.295571,2007,1973,34,124
