"","ID","Region","Name","Party","Date","Venue","Foundation","Reference","Coverage"
"1175",624,"Iraq","Frank",1,"12/20/2001","House","Purity",1,0.0111
"1186",1702,"Afghanistan","Frost",1,"9/14/2001","House","Purity",1,0.0549
"1201",1452,"Iraq","Gonzalez",1,"10/10/2002","House","Purity",1,0.0389
"1218",879,"Sudan","GreenA",1,"9/20/2006","House","Purity",1,0.0153
"1221",646,"Sudan","Hall",1,"6/3/1998","House","Purity",1,0.0535
"1248",1580,"Afghanistan","Hinojosa",1,"9/14/2001","House","Purity",2,0.1234
"1255",1089,"Libya","Hirono",1,"6/24/2011","House","Purity",1,0.0147
"1258",1563,"Afghanistan","Hoeffel",1,"9/14/2001","House","Purity",1,0.0321
"1262",839,"Sudan","Hoeffel",1,"7/21/2007","House","Purity",2,0.0843
"1274",550,"Sudan","Holt",1,"4/5/2006","House","Purity",1,0.0191
"1279",1501,"Iraq","Honda",1,"10/9/2002","House","Purity",1,0.0219
"1282",554,"Sudan","Honda",1,"4/5/2006","House","Purity",1,0.0387
"1292",1106,"Kosovo","Hoyer",1,"3/17/1998","House","Purity",1,0.0126
"1296",1589,"Afghanistan","Hoyer",1,"9/14/2001","House","Purity",1,0.0253
"1303",551,"Sudan","Hoyer",1,"4/5/2006","House","Purity",2,0.0694
"1313",651,"Kosovo","Hoyer",1,"3/10/1998","House","Purity",1,0.011
"1327",655,"Iraq","Inslee",1,"3/13/2003","House","Purity",2,0.004
"1333",2083,"Iran","Isakson",1,"6/22/2010","Senate Hearings","Purity",1,0.0331
"1343",1740,"Afghanistan","JacksonIL",1,"9/14/2001","House","Purity",2,0.0178
"1348",838,"Sudan","JacksonIL",1,"7/21/2004","House","Purity",1,0.0161
"1356",1951,"Russia","Jackson-Lee",1,"11/9/2008","House Hearings","Purity",1,0.0118
"1363",1698,"Afghanistan","Jackson-Lee",1,"9/14/2001","House","Purity",2,0.0296
"1374",1307,"Iraq","Jackson-Lee",1,"10/10/2002","House","Purity",1,0.0212
"1378",659,"Iraq","Jackson-Lee",1,"2/27/2003","House","Purity",1,0.0561
"1383",824,"Sudan","Jackson-Lee",1,"5/13/2004","House","Purity",1,0.0062
"1388",661,"Sudan","Jackson-Lee",1,"7/13/2004","House","Purity",1,0.0288
"1392",662,"Sudan","Jackson-Lee",1,"7/15/2004","House","Purity",1,0.0122
"1403",1792,"Sudan","Jackson-Lee",1,"9/25/2006","House","Purity",1,0.0112
"1410",866,"Sudan","Jackson-Lee",1,"7/30/2007","House","Purity",2,0.0249
"1420",658,"Iran","Jackson-Lee",1,"12/15/2009","House","Purity",3,0.0412
"1427",1042,"Libya","Jackson-Lee",1,"6/3/2011","House","Purity",3,0.0117
"1432",1047,"Libya","Jackson-Lee",1,"6/24/2011","House","Purity",2,0.0062
"1435",673,"Syria","Jackson-Lee",1,"3/19/2012","House","Purity",1,0.0529
"1446",674,"Sudan","Jefferson",1,"9/20/2006","House","Purity",4,0.0632
"1454",16,"Iraq","JohnsonSD",1,"1/30/2003","Senate","Purity",1,0.011
"1501",402,"Iraq","Kennedy",1,"10/10/2002","Senate","Purity",4,0.006
"1504",42,"Iraq","Kennedy",1,"1/29/2003","Senate","Purity",2,0.008
"1512",240,"Iraq","Kennedy",1,"3/13/2003","Senate","Purity",3,0.0097
"1542",2048,"Iran","Kerry",1,"7/9/2008","Senate Hearings","Purity",1,0.0054
"1565",2085,"Iran","Kerry",1,"6/22/2010","Senate Hearings","Purity",1,0.0035
